"ai_tool","primary_use_case","total_users","avg_productivity_gain_pct","rate_productivity","avg_hours_saved_weekly","user_level"
"Tableau AI","Data Analysis","382","84.16","0.21","9.94","Expert"
"Power BI Copilot","Learning","330","83.32","0.18","10.20","Intermediate"
"Deepgram","Automation","328","83.04","0.18","8.95","Intermediate"
"Mistral","Marketing","347","83.01","0.19","10.21","Intermediate"
"Codeium","Marketing","372","82.92","0.20","10.45","Intermediate"
"Claude","Content Writing","375","82.91","0.20","8.68","Intermediate"
"Boston Dynamics AI","Translation","349","82.61","0.19","10.80","Intermediate"
"Figma AI","Data Analysis","365","82.37","0.19","10.37","Intermediate"
"TensorFlow","Customer Support","364","82.27","0.19","9.33","Intermediate"
"Khanmigo","Learning","372","82.23","0.20","9.41","Intermediate"
"HeyGen","Data Analysis","357","82.19","0.19","9.86","Intermediate"
"Cursor AI","Research","342","82.11","0.18","9.54","Intermediate"
"IBM Watson","Data Analysis","377","81.92","0.20","9.70","Intermediate"
"Gemini","Coding","390","81.82","0.21","8.59","Expert"
"Stable Diffusion","Customer Support","415","81.66","0.22","8.94","Expert"
"Tabnine","Learning","388","81.66","0.20","9.51","Intermediate"
"DALL-E","Coding","375","81.62","0.20","8.69","Intermediate"
"Grok","Marketing","382","81.59","0.20","10.61","Intermediate"
"Gemini","Customer Support","353","81.58","0.19","8.25","Intermediate"
"Devin","Content Writing","341","81.57","0.18","9.81","Intermediate"
"DeepSeek","Learning","334","81.55","0.18","8.59","Intermediate"
"Kensho","Data Analysis","363","81.54","0.19","9.59","Intermediate"
"Grok","Translation","351","81.53","0.18","8.51","Intermediate"
"Khanmigo","Content Writing","331","81.49","0.17","9.92","Intermediate"
"IBM Watson","Marketing","376","81.48","0.20","9.78","Intermediate"
"Canva AI","Content Writing","343","81.47","0.18","8.59","Intermediate"
"Elicit","Video Creation","373","81.42","0.20","10.00","Intermediate"
"Grok","Content Writing","382","81.33","0.20","9.48","Intermediate"
"Power BI Copilot","Design","366","81.27","0.19","8.71","Intermediate"
"TensorFlow","Automation","385","81.26","0.20","8.54","Intermediate"
"Whisper","Marketing","370","81.10","0.19","8.98","Intermediate"
"TensorFlow","Translation","337","81.08","0.18","9.71","Intermediate"
"DataRobot","Translation","370","81.06","0.19","10.35","Intermediate"
"Synthesia","Automation","364","81.03","0.19","10.05","Intermediate"
"Elicit","Design","363","80.95","0.19","8.38","Intermediate"
"Hugging Face","Design","346","80.91","0.18","8.15","Intermediate"
"Duolingo Max","Customer Support","362","80.87","0.19","9.79","Intermediate"
"Grok","Video Creation","324","80.82","0.17","10.27","Intermediate"
"Duolingo Max","Research","375","80.78","0.20","8.81","Intermediate"
"Claude","Automation","371","80.76","0.19","9.29","Intermediate"
"AutoGPT","Automation","364","80.75","0.19","10.97","Intermediate"
"Khanmigo","Marketing","330","80.63","0.17","8.09","Intermediate"
"LLaMA","Automation","358","80.61","0.19","9.19","Intermediate"
"Duolingo Max","Marketing","370","80.60","0.19","8.85","Intermediate"
"Canva AI","Translation","348","80.59","0.18","10.61","Intermediate"
"Claude","Data Analysis","347","80.54","0.18","10.67","Intermediate"
"Tableau AI","Marketing","383","80.50","0.20","9.79","Intermediate"
"GPT-4","Customer Support","384","80.48","0.20","10.23","Intermediate"
"Tabnine","Video Creation","414","80.47","0.21","9.86","Expert"
"Tableau AI","Content Writing","369","80.46","0.19","10.81","Intermediate"
"AlphaFold","Learning","395","80.41","0.20","9.20","Intermediate"
"Tabnine","Content Writing","370","80.40","0.19","9.79","Intermediate"
"Claude","Design","386","80.39","0.20","9.47","Intermediate"
"Runway ML","Content Writing","377","80.39","0.20","8.95","Intermediate"
"Runway ML","Data Analysis","373","80.38","0.19","9.08","Intermediate"
"Khanmigo","Translation","364","80.37","0.19","8.89","Intermediate"
"GitHub Copilot","Design","366","80.36","0.19","9.73","Intermediate"
"Tesla Optimus","Customer Support","337","80.34","0.17","10.87","Intermediate"
"Mistral","Design","347","80.29","0.18","9.60","Intermediate"
"Mistral","Video Creation","394","80.29","0.20","10.41","Intermediate"
"Stable Diffusion","Content Writing","382","80.28","0.20","10.16","Intermediate"
"Figma AI","Coding","355","80.27","0.18","10.21","Intermediate"
"IBM Watson","Translation","387","80.26","0.20","9.79","Intermediate"
"IBM Watson","Coding","347","80.25","0.18","10.00","Intermediate"
"Microsoft Copilot","Learning","304","80.25","0.16","7.72","Beginner"
"Whisper","Content Writing","350","80.23","0.18","9.20","Intermediate"
"Jasper","Data Analysis","362","80.21","0.19","10.63","Intermediate"
"GPT-4","Design","383","80.20","0.20","9.48","Intermediate"
"Codeium","Video Creation","385","80.19","0.20","8.30","Intermediate"
"GitHub Copilot","Marketing","317","80.19","0.16","9.81","Beginner"
"Mistral","Translation","371","80.17","0.19","11.78","Intermediate"
"Copy.ai","Translation","372","80.13","0.19","10.18","Intermediate"
"Qwen","Research","392","80.11","0.20","9.17","Intermediate"
"GPT-5","Content Writing","374","80.10","0.19","8.02","Intermediate"
"Power BI Copilot","Translation","336","80.09","0.17","8.53","Intermediate"
"Tabnine","Translation","375","80.09","0.19","10.33","Intermediate"
"GrammarlyGO","Marketing","392","80.09","0.20","10.22","Intermediate"
"TensorFlow","Data Analysis","376","80.08","0.19","9.65","Intermediate"
"ElevenLabs","Learning","347","80.05","0.18","9.30","Intermediate"
"Boston Dynamics AI","Video Creation","388","79.99","0.20","10.96","Intermediate"
"Jasper","Video Creation","374","79.98","0.19","10.27","Intermediate"
"Copy.ai","Customer Support","325","79.96","0.17","9.34","Intermediate"
"AutoGPT","Learning","371","79.95","0.19","8.74","Intermediate"
"GitHub Copilot","Data Analysis","352","79.92","0.18","9.82","Intermediate"
"Gemini","Design","350","79.83","0.18","9.86","Intermediate"
"AutoGPT","Translation","361","79.82","0.19","10.91","Intermediate"
"Khanmigo","Customer Support","384","79.81","0.20","10.02","Intermediate"
"Duolingo Max","Data Analysis","357","79.81","0.18","9.07","Intermediate"
"Codeium","Automation","352","79.80","0.18","9.11","Intermediate"
"Deepgram","Marketing","388","79.78","0.20","11.18","Intermediate"
"Perplexity AI","Coding","369","79.74","0.19","8.01","Intermediate"
"Jasper","Research","369","79.73","0.19","9.36","Intermediate"
"DataRobot","Research","352","79.69","0.18","9.22","Intermediate"
"Falcon","Learning","356","79.69","0.18","9.25","Intermediate"
"DALL-E","Automation","327","79.66","0.17","9.05","Intermediate"
"Qwen","Learning","380","79.65","0.20","10.62","Intermediate"
"LangChain","Learning","375","79.63","0.19","8.81","Intermediate"
"Power BI Copilot","Coding","366","79.59","0.19","10.39","Intermediate"
"Whisper","Data Analysis","381","79.58","0.20","10.49","Intermediate"
"Notion AI","Marketing","369","79.58","0.19","8.86","Intermediate"
"BloombergGPT","Translation","377","79.56","0.19","8.84","Intermediate"
"Midjourney","Marketing","403","79.55","0.21","10.57","Expert"
"Whisper","Customer Support","351","79.55","0.18","10.22","Intermediate"
"Falcon","Coding","360","79.54","0.18","10.09","Intermediate"
"Hugging Face","Research","358","79.54","0.18","9.21","Intermediate"
"Microsoft Copilot","Marketing","378","79.52","0.19","9.95","Intermediate"
"Falcon","Customer Support","327","79.51","0.17","9.99","Intermediate"
"Gemini","Research","358","79.49","0.18","10.17","Intermediate"
"BloombergGPT","Research","375","79.49","0.19","7.13","Intermediate"
"DataRobot","Content Writing","356","79.49","0.18","8.60","Intermediate"
"GrammarlyGO","Design","355","79.46","0.18","8.22","Intermediate"
"GPT-5","Learning","356","79.44","0.18","10.29","Intermediate"
"Synthesia","Video Creation","380","79.43","0.19","9.08","Intermediate"
"IBM Watson","Customer Support","334","79.39","0.17","7.85","Intermediate"
"BloombergGPT","Content Writing","361","79.36","0.18","9.20","Intermediate"
"Microsoft Copilot","Coding","356","79.35","0.18","7.67","Intermediate"
"Kensho","Translation","324","79.33","0.17","8.19","Intermediate"
"GPT-5","Coding","373","79.33","0.19","10.50","Intermediate"
"HeyGen","Customer Support","357","79.33","0.18","8.98","Intermediate"
"DataRobot","Data Analysis","351","79.31","0.18","7.44","Intermediate"
"TensorFlow","Research","349","79.31","0.18","9.12","Intermediate"
"Tesla Optimus","Marketing","369","79.30","0.19","10.23","Intermediate"
"DataRobot","Learning","380","79.29","0.19","8.96","Intermediate"
"PyTorch","Translation","359","79.29","0.18","10.80","Intermediate"
"Jasper","Marketing","362","79.27","0.18","8.86","Intermediate"
"Khanmigo","Design","343","79.27","0.18","9.24","Intermediate"
"LLaMA","Customer Support","363","79.24","0.19","10.58","Intermediate"
"GrammarlyGO","Data Analysis","395","79.23","0.20","8.41","Intermediate"
"LLaMA","Video Creation","369","79.23","0.19","8.76","Intermediate"
"Jasper","Learning","366","79.22","0.19","9.14","Intermediate"
"DALL-E","Data Analysis","325","79.21","0.17","9.45","Intermediate"
"IBM Watson","Learning","368","79.21","0.19","11.00","Intermediate"
"Hugging Face","Customer Support","392","79.21","0.20","9.26","Intermediate"
"Grok","Design","362","79.21","0.18","9.34","Intermediate"
"TensorFlow","Video Creation","391","79.19","0.20","10.48","Intermediate"
"GitHub Copilot","Learning","357","79.17","0.18","9.69","Intermediate"
"Canva AI","Coding","382","79.17","0.19","9.48","Intermediate"
"AlphaFold","Marketing","332","79.13","0.17","10.36","Intermediate"
"Deepgram","Content Writing","365","79.11","0.19","10.37","Intermediate"
"DeepSeek","Translation","353","79.10","0.18","8.62","Intermediate"
"Falcon","Data Analysis","334","79.10","0.17","12.42","Intermediate"
"GPT-5","Data Analysis","380","79.09","0.19","10.08","Intermediate"
"LLaMA","Learning","361","79.08","0.18","10.26","Intermediate"
"HeyGen","Automation","404","79.08","0.21","9.02","Expert"
"Figma AI","Automation","357","79.05","0.18","9.07","Intermediate"
"Mistral","Coding","393","79.04","0.20","11.64","Intermediate"
"Canva AI","Learning","348","79.04","0.18","8.72","Intermediate"
