"country","industry","user_type","user_count","time_used"
"Madagascar","Education","Business Owner","17","31"
"Bulgaria","Government","Designer","16","20"
"Ireland","Agriculture","Non-Tech User","16","34"
"Gambia","Legal","Marketer","15","27"
"Paraguay","Healthcare","Data Analyst","15","30"
"Georgia","Media","Marketer","15","27"
"Rwanda","Legal","Business Owner","15","30"
"Guinea-Bissau","Education","Marketer","15","23"
"Somalia","Agriculture","ML Engineer","14","30"
"Syria","Media","Marketer","14","28"
"Switzerland","Agriculture","ML Engineer","14","24"
"Iraq","Retail","Researcher","14","32"
"Mexico","Agriculture","Teacher","14","32"
"New Zealand","Transportation","Doctor","14","33"
"Egypt","Government","Senior Developer","14","24"
"Argentina","Retail","DevOps Engineer","14","31"
"Chile","Finance","Junior Dev","14","29"
"Tunisia","Government","Student","13","29"
"Turkmenistan","Healthcare","Junior Dev","13","28"
"Brazil","Transportation","DevOps Engineer","13","23"
"Pakistan","Finance","Product Manager","13","26"
"South Africa","Media","Teacher","13","30"
"Iraq","Government","Researcher","13","30"
"Guinea-Bissau","Tech","Senior Developer","13","36"
"Timor-Leste","Agriculture","Non-Tech User","13","34"
"Palau","Manufacturing","Freelancer","13","28"
"Mongolia","Education","Teacher","13","30"
"Niger","Government","Marketer","13","35"
"Georgia","Agriculture","Researcher","13","31"
"Venezuela","Retail","Startup Founder","13","34"
"Latvia","Energy","Doctor","13","26"
"Angola","Energy","Content Creator","13","36"
"Indonesia","Energy","Cybersecurity Analyst","13","26"
"Vatican City","Energy","Cybersecurity Analyst","13","31"
"Uganda","Government","DevOps Engineer","13","26"
"Mali","Media","Teacher","13","29"
"Palau","Finance","Product Manager","13","36"
"Guatemala","Retail","Cybersecurity Analyst","13","38"
"Tanzania","Transportation","Cybersecurity Analyst","13","23"
"France","Legal","Non-Tech User","13","28"
"Mozambique","Energy","Senior Developer","13","30"
"Greece","Finance","Product Manager","13","36"
"Monaco","Tech","Marketer","13","31"
"Serbia","Manufacturing","Non-Tech User","13","26"
"Mali","Finance","Startup Founder","13","32"
"Mexico","Legal","Startup Founder","13","35"
"Ireland","Tech","Government Worker","13","36"
"Seychelles","Energy","Junior Dev","13","28"
"North Macedonia","Agriculture","Content Creator","13","35"
"Montenegro","Retail","Product Manager","13","43"
"Guinea-Bissau","Finance","Startup Founder","13","35"
"Rwanda","Tech","Marketer","13","32"
"Bulgaria","Finance","ML Engineer","13","28"
"Guatemala","Government","Content Creator","13","32"
"Latvia","Manufacturing","Business Owner","13","33"
"Tanzania","Government","Data Analyst","13","24"
"Malaysia","Media","Teacher","13","32"
"Panama","Manufacturing","Product Manager","13","28"
"Togo","Media","Content Creator","13","32"
"Spain","Legal","Lawyer","13","32"
"Eswatini","Agriculture","Non-Tech User","13","40"
"Dominican Republic","Legal","Student","13","40"
"Bulgaria","Agriculture","DevOps Engineer","12","32"
"Congo","Government","Researcher","12","41"
